msg,blinks_count,blinks_total_duration,blinks_avg_duration,blinks_median_duration,center_fixations_count,center_fixations_duration,center_fixations_avg_duration,center_fixations_median_duration,total_duration,center_fixations_percentage,blinks_percentage
0,12,1834.0,152.83333333333334,148.0,88,85272.0,969.0,538.0,143492.0,60.19568255940363,1.278120034566387
1,2,514.0,257.0,392.0,22,15550.0,706.8181818181819,282.0,20000.0,79.80088268500461,2.5700000000000003
2,11,1346.0,122.36363636363636,122.0,35,50820.0,1452.0,808.0,57030.0,91.2649953307952,2.3601613186042436
3,0,0,-1,-1,2,552.0,276.0,546.0,1004.0,54.980079681274894,0.0
