msg,blinks_count,blinks_total_duration,blinks_avg_duration,blinks_median_duration,center_fixations_count,center_fixations_duration,center_fixations_avg_duration,center_fixations_median_duration,total_duration,center_fixations_percentage,blinks_percentage
0,10,2138.0,213.8,114.0,23,29970.0,1303.0434782608695,778.0,186540.0,16.252535221960716,1.146134877238126
1,20,2358.0,117.9,118.0,34,38394.0,1129.235294117647,448.0,52082.0,77.21422250824551,4.527475903383127
2,14,1838.0,131.28571428571428,138.0,25,58292.0,2331.68,1680.0,67296.0,89.05252222799352,2.731217308606752
3,0,0,-1,-1,1,698.0,698.0,698.0,1002.0,69.66067864271457,0.0
