msg,blinks_count,blinks_total_duration,blinks_avg_duration,blinks_median_duration,center_dwell_count,center_dwell_duration,center_dwell_avg_duration,center_dwell_median_duration,dispersion_fixations_count,dispersion_fixations_duration,dispersion_fixations_avg_duration,dispersion_fixations_median_duration,center_dispersion_fixations_count,center_dispersion_fixations_duration,center_dispersion_fixations_avg_duration,center_dispersion_fixations_median_duration,saccades_count,saccades_avg_velocity,saccades_median_velocity,total_duration,center_dwell_percentage,dispersion_fixations_percentage,center_dispersion_fixations_percentage,blinks_percentage
0,22,962.0,43.72727272727273,46.0,46,21876.0,475.5652173913044,344.0,80,26744.0,334.3,290.0,52,18876.0,363.0,318.0,154,5210.486973726013,3141.6666666666706,116480.0,18.937308471407054,23.151370349209646,16.34031060094531,0.8258928571428572
1,39,4590.0,117.6923076923077,56.0,135,21754.0,161.14074074074074,32.0,215,62430.0,290.3720930232558,254.0,47,12956.0,275.6595744680851,262.0,401,6230.9970584593,3804.9999999999955,77200.0,29.960060597713813,85.97989257678006,17.843272276545928,5.94559585492228
2,54,3068.0,56.81481481481482,48.0,108,44430.0,411.3888888888889,314.0,186,56882.0,305.81720430107526,266.0,116,39102.0,337.08620689655174,310.0,396,4993.892026303849,3390.625000000007,68262.0,68.15044329232751,87.25036046261926,59.977912077798564,4.494447862646861
3,1,164.0,164.0,164.0,4,736.0,184.0,112.0,2,458.0,229.0,232.0,2,458.0,229.0,232.0,7,3187.135025062658,2859.9999999999986,1002.0,87.82816229116945,54.653937947494036,54.653937947494036,16.367265469061877
