msg,blinks_count,blinks_total_duration,blinks_avg_duration,blinks_median_duration,center_dwell_count,center_dwell_duration,center_dwell_avg_duration,center_dwell_median_duration,dispersion_fixations_count,dispersion_fixations_duration,dispersion_fixations_avg_duration,dispersion_fixations_median_duration,center_dispersion_fixations_count,center_dispersion_fixations_duration,center_dispersion_fixations_avg_duration,center_dispersion_fixations_median_duration,saccades_count,saccades_avg_velocity,saccades_median_velocity,total_duration,center_dwell_percentage,dispersion_fixations_percentage,center_dispersion_fixations_percentage,blinks_percentage
0,66,17530.0,265.6060606060606,124.0,91,49896.0,548.3076923076923,16.0,132,55724.0,422.1515151515151,334.0,48,19850.0,413.5416666666667,348.0,451,2826.604512606752,1500.0,107266.0,55.60310243380583,62.09770883480431,22.12044218596773,16.34255029552701
1,70,48636.0,694.8,120.0,95,18166.0,191.22105263157894,24.0,190,62430.0,328.57894736842104,266.0,41,13654.0,333.0243902439024,290.0,509,3613.8833598576866,2134.999999999991,122426.0,24.618511993495055,84.60496002168315,18.50386231196639,39.72685540653129
2,60,9728.0,162.13333333333333,126.0,78,2732.0,35.02564102564103,2.0,117,55790.0,476.8376068376068,418.0,5,1346.0,269.2,210.0,294,2315.932522053805,1229.1666666666667,70844.0,4.470187839518293,91.28542443877217,2.202369265004254,13.731579244537292
3,1,94.0,94.0,94.0,5,418.0,83.6,6.0,2,806.0,403.0,410.0,1,396.0,396.0,396.0,4,1468.9021915584408,1207.1428571428555,1002.0,46.035242290748904,88.76651982378854,43.61233480176212,9.3812375249501
