0,1,2,3,4,5,6,7
15121758,823.6,512.0,16.3,.,.,14.8,4.0,.....,4725.0,2623.0,530.7
15121760,823.2,512.0,16.3,.,.,14.8,4.0,.....,4725.0,2623.0,530.7
15121762,822.8,512.0,16.3,.,.,14.8,4.0,.....,4725.0,2623.0,530.7
15121764,822.3,512.0,16.4,.,.,14.8,4.0,.....,4725.0,2623.0,530.7
15121766,821.9,512.0,16.4,.,.,14.8,4.0,.....,4725.0,2623.0,530.7
15121768,821.4,512.0,16.4,.,.,14.8,4.0,.....,4725.0,2623.0,530.7
15121770,820.9,512.0,16.4,.,.,14.8,4.0,.....,4725.0,2623.0,530.7
15121772,820.3,512.0,16.4,.,.,14.9,4.0,.....,4725.0,2623.0,530.7
15121774,820.2,512.0,16.4,.,.,14.9,4.0,.....,4725.0,2623.0,530.7
15121776,820.1,512.0,16.4,.,.,14.9,4.0,.....,4725.0,2623.0,530.7
15121778,820.1,512.0,16.4,.,.,14.9,4.0,.....,4725.0,2623.0,530.7
15121780,820.1,512.0,16.4,.,.,14.9,4.0,.....,4724.0,2622.0,530.7
15121782,820.1,512.0,16.4,.,.,14.9,4.0,.....,4725.0,2623.0,530.7
15121784,820.2,512.0,16.5,.,.,14.9,4.0,.....,4724.0,2623.0,530.7
15121786,820.3,512.0,16.5,.,.,14.9,4.0,.....,4724.0,2622.0,530.7
15121788,820.4,512.0,16.5,.,.,14.9,4.0,.....,4724.0,2622.0,530.7
15121790,820.5,512.0,16.5,.,.,14.9,4.0,.....,4725.0,2622.0,530.7
15121792,820.4,512.0,16.5,.,.,14.9,4.0,.....,4724.0,2622.0,530.6
15121794,820.2,512.0,16.5,.,.,14.9,4.0,.....,4724.0,2622.0,530.6
15121796,820.1,512.0,16.5,.,.,14.9,4.0,.....,4724.0,2622.0,530.6
15121798,819.9,512.0,16.5,.,.,14.9,4.0,.....,4724.0,2622.0,530.6
15121800,819.8,512.0,16.5,.,.,15.0,4.0,.....,4724.0,2622.0,530.5
15121802,819.7,512.0,16.5,.,.,15.0,4.0,.....,4724.0,2622.0,530.5
15121804,819.7,512.0,16.5,.,.,15.0,4.0,.....,4724.0,2622.0,530.5
15121806,819.8,512.0,16.5,.,.,15.0,4.0,.....,4724.0,2622.0,530.5
15121808,819.9,512.0,16.5,.,.,15.0,4.0,.....,4724.0,2622.0,530.5
15121810,820.1,512.0,16.5,.,.,15.0,4.0,.....,4724.0,2622.0,530.5
15121812,820.3,512.0,16.5,785.4,512.0,15.0,4.0,.....,4724.0,2622.0,530.5
15121814,820.6,512.0,16.5,785.4,512.0,15.0,4.0,.....,4724.0,2622.0,530.5
15121816,820.7,512.0,16.5,785.4,512.0,15.0,4.0,.....,4724.0,2622.0,530.4
15121818,820.7,512.0,16.5,785.4,512.0,15.0,4.0,.....,4724.0,2622.0,530.4
15121820,820.5,512.0,16.5,785.4,512.0,15.0,4.0,.....,4724.0,2622.0,530.4
15121822,820.4,512.0,16.5,785.4,512.0,15.0,4.0,.....,4724.0,2622.0,530.4
15121824,820.2,512.0,16.5,785.4,512.0,15.0,4.0,.....,4724.0,2622.0,530.4
15121826,820.2,512.0,16.6,785.2,512.0,15.0,4.0,.....,4724.0,2622.0,530.4
15121828,820.4,512.0,16.6,784.9,512.0,15.0,4.0,.....,4724.0,2622.0,530.4
15121830,820.5,512.0,16.6,784.7,512.0,15.0,4.0,.....,4724.0,2622.0,530.4
15121832,820.5,512.0,16.6,784.7,512.0,15.0,4.0,.....,4724.0,2621.0,530.3
15121834,820.7,512.0,16.6,784.8,512.0,15.1,4.0,.....,4724.0,2621.0,530.3
15121836,820.9,512.0,16.6,784.8,512.0,15.1,4.0,.....,4724.0,2621.0,530.3
15121838,821.2,512.0,16.6,785.0,512.0,15.1,4.0,.....,4724.0,2622.0,530.3
15121840,821.3,512.0,16.6,785.2,512.0,15.1,4.0,.....,4725.0,2621.0,530.3
15121842,821.2,512.0,16.6,785.4,512.0,15.1,4.0,.....,4724.0,2621.0,530.3
15121844,821.2,512.0,16.6,785.7,512.0,15.1,4.0,.....,4725.0,2621.0,530.2
15121846,821.3,512.0,16.6,785.8,512.0,15.1,4.0,.....,4724.0,2621.0,530.2
15121848,821.3,512.0,16.6,785.9,512.0,15.1,4.0,.....,4724.0,2621.0,530.2
15121850,821.2,512.0,16.6,785.9,512.0,15.1,4.0,.....,4725.0,2621.0,530.2
15121852,821.1,512.0,16.6,786.0,512.0,15.1,4.0,.....,4724.0,2621.0,530.3
15121854,820.9,512.0,16.6,786.0,512.0,15.1,4.0,.....,4724.0,2621.0,530.3
15121856,820.7,512.0,16.7,786.0,512.0,15.1,4.0,.....,4724.0,2621.0,530.3
15121858,820.6,512.0,16.7,786.0,512.0,15.1,4.0,.....,4725.0,2621.0,530.3
15121860,820.5,512.0,16.7,786.0,512.0,15.1,4.0,.....,4724.0,2621.0,530.3
15121862,820.5,512.0,16.7,786.0,512.0,15.1,4.0,.....,4724.0,2621.0,530.3
15121864,820.3,512.0,16.7,786.2,512.0,15.1,4.0,.....,4724.0,2621.0,530.3
15121866,820.2,512.0,16.7,786.3,512.0,15.2,4.0,.....,4724.0,2621.0,530.3
15121868,820.2,512.0,16.7,786.6,512.0,15.2,4.0,.....,4725.0,2621.0,530.3
15121870,820.2,512.0,16.7,786.8,512.0,15.2,4.0,.....,4725.0,2621.0,530.3
15121872,820.1,512.0,16.7,787.0,512.0,15.2,4.0,.....,4724.0,2621.0,530.3
15121874,820.4,512.0,16.7,787.6,512.0,15.2,4.0,.....,4724.0,2621.0,530.4
15121876,822.2,512.0,16.7,789.6,512.0,15.2,4.0,.....,4724.0,2621.0,530.4
15121878,826.1,512.0,16.7,793.4,512.0,15.2,4.0,.....,4724.0,2621.0,530.4
15121880,832.9,512.0,16.7,797.7,512.0,15.2,4.0,.....,4724.0,2621.0,530.4
15121882,841.3,512.0,16.7,803.2,512.0,15.2,4.0,.....,4724.0,2621.0,530.5
15121884,850.0,512.0,16.7,809.6,512.0,15.3,4.0,.....,4724.0,2620.0,530.5
15121886,859.0,512.0,16.8,816.1,512.0,15.3,4.0,.....,4724.0,2620.0,530.5
15121888,867.6,512.0,16.8,822.1,512.0,15.3,4.0,.....,4724.0,2620.0,530.6
15121890,874.8,512.0,16.8,826.8,512.0,15.3,4.0,.....,4724.0,2620.0,530.6
15121892,880.0,512.0,16.8,829.6,512.0,15.3,4.0,.....,4724.0,2620.0,530.6
15121894,882.4,512.0,16.8,832.0,512.0,15.3,4.0,.....,4724.0,2620.0,530.7
15121896,883.1,512.0,16.8,833.0,512.0,15.3,4.0,.....,4724.0,2620.0,530.7
15121898,883.7,512.0,16.8,833.2,512.0,15.3,4.0,.....,4724.0,2620.0,530.7
15121900,884.0,512.0,16.8,833.3,512.0,15.3,4.0,.....,4724.0,2620.0,530.8
15121902,884.2,512.0,16.8,833.3,512.0,15.3,4.0,.....,4724.0,2620.0,530.8
15121904,884.3,512.0,16.7,833.3,512.0,15.3,4.0,.....,4724.0,2620.0,530.8
15121906,884.4,512.0,16.7,833.3,512.0,15.3,4.0,.....,4724.0,2620.0,530.8
15121908,884.4,512.0,16.7,833.3,512.0,15.2,4.0,.....,4724.0,2620.0,530.8
15121910,884.4,512.0,16.8,833.3,512.0,15.2,4.0,.....,4724.0,2620.0,530.8
15121912,884.3,512.0,16.8,833.3,512.0,15.3,4.0,.....,4724.0,2620.0,530.9
15121914,884.2,512.0,16.8,833.4,512.0,15.3,4.0,.....,4724.0,2620.0,530.9
15121916,884.0,512.0,16.8,833.4,512.0,15.3,4.0,.....,4724.0,2620.0,530.9
15121918,884.0,512.0,16.8,833.3,512.0,15.3,4.0,.....,4724.0,2620.0,530.9
15121920,883.9,512.0,16.8,833.3,512.0,15.3,4.0,.....,4724.0,2620.0,530.9
15121922,883.9,512.0,16.8,833.3,512.0,15.3,4.0,.....,4724.0,2620.0,530.9
15121924,884.0,512.0,16.8,833.3,512.0,15.3,4.0,.....,4724.0,2620.0,530.9
