msg,blinks_count,blinks_total_duration,blinks_avg_duration,blinks_median_duration,center_dwell_count,center_dwell_duration,center_dwell_avg_duration,center_dwell_median_duration,dispersion_fixations_count,dispersion_fixations_duration,dispersion_fixations_avg_duration,dispersion_fixations_median_duration,center_dispersion_fixations_count,center_dispersion_fixations_duration,center_dispersion_fixations_avg_duration,center_dispersion_fixations_median_duration,saccades_count,saccades_avg_velocity,saccades_median_velocity,total_duration,center_dwell_percentage,dispersion_fixations_percentage,center_dispersion_fixations_percentage,blinks_percentage
0,47,3540.0,75.31914893617021,72.0,137,40630.0,296.56934306569343,174.0,177,44438.0,251.06214689265536,210.0,127,33680.0,265.1968503937008,212.0,513,5621.15182379143,4082.1428571428555,893636.0,4.564676169761464,4.992495191529903,3.7838615160611893,0.3961344440018083
1,64,5052.0,78.9375,66.0,123,41582.0,338.0650406504065,168.0,197,45940.0,233.1979695431472,208.0,137,32706.0,238.72992700729927,212.0,535,6354.598984355791,4078.125,66444.0,67.73195204586916,74.83059682043263,53.27404222048475,7.60339534043706
2,43,2778.0,64.6046511627907,64.0,177,45338.0,256.14689265536725,48.0,212,65464.0,308.79245283018867,268.0,117,34706.0,296.63247863247864,262.0,420,4431.943463629257,2660.0000000000023,74712.0,63.02721939555704,91.00564406261296,48.24700419829288,3.7182781882428526
3,0,0,-1,-1,1,334.0,334.0,334.0,3,914.0,304.6666666666667,308.0,1,250.0,250.0,250.0,7,2159.3659812409815,2562.5,1002.0,33.33333333333333,91.21756487025948,24.9500998003992,0.0
