msg,blinks_count,blinks_total_duration,blinks_avg_duration,blinks_median_duration,center_fixations_count,center_fixations_duration,center_fixations_avg_duration,center_fixations_median_duration,total_duration,center_fixations_percentage,blinks_percentage
0,3,208.0,69.33333333333333,72.0,5,1812.0,362.4,200.0,48297.0,3.7680134750150764,0.43066857154688704
1,55,6414.0,116.61818181818182,82.0,146,72376.0,495.7260273972603,26.0,89638.0,86.96529847159474,7.155447466476271
2,31,4800.0,154.83870967741936,86.0,35,48426.0,1383.6,876.0,55404.0,95.69599241166706,8.663634394628547
3,0,0,-1,-1,1,1002.0,1002.0,1002.0,1002.0,100.0,0.0
