0,1,2,3,4,5,6,7
5511182,868.8,512.0,41.8,849.9,512.0,43.7,8.0
5511184,868.0,512.0,41.8,849.7,512.0,43.7,8.0
5511186,867.4,512.0,41.7,848.3,512.0,43.8,8.0
5511188,868.5,512.0,41.7,850.1,512.0,43.8,8.0
5511190,868.0,512.0,41.6,852.0,512.0,43.8,8.0
5511192,867.9,512.0,41.7,851.8,512.0,43.8,8.0
5511194,868.4,512.0,41.7,852.1,512.0,43.8,8.0
5511196,869.5,512.0,41.8,851.2,512.0,43.9,8.0
5511198,871.7,512.0,41.8,849.8,512.0,43.9,8.0
5511200,874.4,512.0,41.7,850.4,512.0,43.9,8.0
5511202,877.2,512.0,41.7,849.6,512.0,43.9,8.0
5511204,876.5,512.0,41.8,848.5,512.0,43.9,8.0
5511206,875.1,512.0,41.8,847.8,512.0,43.8,8.0
5511208,873.2,512.0,41.8,849.7,512.0,43.8,8.0
5511210,872.3,512.0,41.8,852.4,512.0,43.8,8.0
5511212,873.0,512.0,41.8,851.9,512.0,43.8,8.0
5511214,875.9,512.0,41.8,851.4,512.0,43.9,8.0
5511216,879.7,512.0,41.8,851.2,512.0,43.8,8.0
5511218,880.0,512.0,41.9,851.6,512.0,43.9,8.0
5511220,879.3,512.0,41.9,851.9,512.0,43.9,8.0
5511222,878.9,512.0,41.9,850.5,512.0,44.0,8.0
5511224,878.8,512.0,42.0,850.1,512.0,44.0,8.0
5511226,878.4,512.0,41.9,849.2,512.0,44.0,8.0
5511228,878.7,512.0,41.9,849.8,512.0,44.0,8.0
5511230,879.2,512.0,41.9,848.1,512.0,44.0,8.0
5511232,878.7,512.0,42.0,848.3,512.0,44.0,8.0
5511234,874.8,512.0,42.0,848.4,512.0,44.0,8.0
5511236,873.7,512.0,41.9,847.7,512.0,44.0,8.0
5511238,873.3,512.0,41.9,849.8,512.0,44.0,8.0
5511240,874.1,512.0,41.9,849.8,512.0,44.0,8.0
5511242,876.7,512.0,42.0,849.4,512.0,44.0,8.0
5511244,876.6,512.0,42.1,848.6,512.0,44.1,8.0
5511246,876.3,512.0,42.1,847.9,512.0,44.1,8.0
5511248,876.4,512.0,42.1,848.1,512.0,44.1,8.0
5511250,876.2,512.0,42.1,848.1,512.0,44.2,8.0
5511252,875.4,512.0,42.1,848.2,512.0,44.2,8.0
5511254,873.7,512.0,42.0,846.8,512.0,44.2,8.0
5511256,874.4,512.0,42.0,846.0,512.0,44.2,8.0
5511258,876.1,512.0,42.0,849.2,512.0,44.2,8.0
5511260,875.8,512.0,42.0,848.4,512.0,44.2,8.0
5511262,878.0,512.0,42.1,844.8,512.0,44.1,8.0
5511264,878.8,512.0,42.1,848.1,512.0,44.1,8.0
5511266,878.9,512.0,42.2,848.8,512.0,44.2,8.0
5511268,879.6,512.0,42.3,846.1,512.0,44.3,8.0
5511270,880.2,512.0,42.2,848.0,512.0,44.3,8.0
5511272,881.9,512.0,42.2,850.0,512.0,44.3,8.0
5511274,882.9,512.0,42.2,851.6,512.0,44.4,8.0
5511276,883.1,512.0,42.1,848.6,512.0,44.4,8.0
5511278,882.6,512.0,42.1,846.8,512.0,44.3,8.0
5511280,881.7,512.0,42.1,845.9,512.0,44.4,8.0
5511282,881.6,512.0,42.2,849.5,512.0,44.3,8.0
5511284,883.1,512.0,42.2,850.2,512.0,44.3,8.0
5511286,883.4,512.0,42.2,849.3,512.0,44.3,8.0
5511288,883.6,512.0,42.2,849.8,512.0,44.3,8.0
5511290,885.6,512.0,42.2,850.6,512.0,44.3,8.0
5511292,888.9,512.0,42.2,850.1,512.0,44.2,8.0
5511294,890.9,512.0,42.2,849.2,512.0,44.2,8.0
5511296,891.4,512.0,42.2,848.9,512.0,44.3,8.0
5511298,891.4,512.0,42.2,848.5,512.0,44.3,8.0
5511300,889.3,512.0,42.1,849.1,512.0,44.2,8.0
5511302,888.0,512.0,42.1,850.3,512.0,44.2,8.0
5511304,889.2,512.0,42.1,850.9,512.0,44.3,8.0
5511306,889.2,512.0,42.1,850.0,512.0,44.3,8.0
5511308,887.6,512.0,42.1,849.3,512.0,44.3,8.0
5511310,886.1,512.0,42.2,850.1,512.0,44.3,8.0
5511312,885.0,512.0,42.1,848.9,512.0,44.3,8.0
5511314,882.6,512.0,42.1,848.2,512.0,44.3,8.0
5511316,882.3,512.0,42.1,847.1,512.0,44.3,8.0
5511318,882.6,512.0,42.1,846.9,512.0,44.3,8.0
5511320,878.1,512.0,42.1,846.8,512.0,44.3,8.0
5511322,877.4,512.0,42.2,844.0,512.0,44.3,8.0
5511324,878.5,512.0,42.1,845.1,512.0,44.3,8.0
5511326,879.9,512.0,42.0,846.6,512.0,44.3,8.0
5511328,880.4,512.0,42.1,847.0,512.0,44.3,8.0
5511330,877.4,512.0,42.2,847.0,512.0,44.3,8.0
5511332,876.3,512.0,42.1,848.6,512.0,44.3,8.0
5511334,879.7,512.0,42.1,847.3,512.0,44.3,8.0
5511336,878.9,512.0,42.1,846.2,512.0,44.2,8.0
5511338,878.7,512.0,42.1,846.8,512.0,44.2,8.0
5511340,877.1,512.0,42.1,846.3,512.0,44.2,8.0
5511342,875.9,512.0,42.1,844.8,512.0,44.2,8.0
5511344,875.3,512.0,42.1,842.0,512.0,44.2,8.0
5511346,874.6,512.0,42.1,841.2,512.0,44.2,8.0
5511348,873.7,512.0,42.1,843.6,512.0,44.2,8.0
5511350,873.9,512.0,42.0,846.1,512.0,44.2,8.0
5511352,875.4,512.0,42.0,845.8,512.0,44.2,8.0
5511354,877.0,512.0,42.0,844.7,512.0,44.2,8.0
5511356,876.9,512.0,42.0,846.0,512.0,44.2,8.0
5511358,877.8,512.0,41.9,846.0,512.0,44.2,8.0
5511360,877.6,512.0,41.9,846.4,512.0,44.1,8.0
5511362,875.8,512.0,41.9,847.2,512.0,44.1,8.0
5511364,875.7,512.0,41.9,848.5,512.0,44.1,8.0
5511366,875.4,512.0,41.9,848.8,512.0,44.1,8.0
5511368,874.8,512.0,41.9,848.0,512.0,44.0,8.0
5511370,874.8,512.0,41.8,848.9,512.0,44.0,8.0
5511372,875.5,512.0,41.7,845.5,512.0,44.0,8.0
5511374,875.1,512.0,41.7,846.0,512.0,43.9,8.0
5511376,874.3,512.0,41.7,848.2,512.0,43.8,8.0
5511378,875.1,512.0,41.6,850.2,512.0,43.7,8.0
5511380,877.9,512.0,41.6,848.7,512.0,43.8,8.0
5511382,878.1,512.0,41.5,847.3,512.0,43.7,8.0
5511384,876.9,512.0,41.4,844.8,512.0,43.6,8.0
