msg,blinks_count,blinks_total_duration,blinks_avg_duration,blinks_median_duration,center_fixations_count,center_fixations_duration,center_fixations_avg_duration,center_fixations_median_duration,total_duration,center_fixations_percentage,blinks_percentage
0,60,7636.0,127.26666666666667,110.0,112,84476.0,754.25,362.0,128653.0,69.80506870935488,5.935345464155519
1,9,1078.0,119.77777777777777,110.0,14,14062.0,1004.4285714285714,654.0,20000.0,74.31561145756262,5.390000000000001
2,13,3860.0,296.9230769230769,128.0,133,44638.0,335.62406015037595,8.0,70496.0,66.98781439462152,5.4754879709487065
3,1,54.0,54.0,54.0,1,940.0,940.0,940.0,1002.0,99.15611814345992,5.389221556886228
