0,1,2,3,4,5,6,7
3372775,1053.4,512.0,30.8,1069.9,512.0,34.1,0.0
3372777,1053.1,512.0,30.9,1069.6,512.0,34.1,0.0
3372779,1053.9,512.0,30.9,1068.6,512.0,34.1,0.0
3372781,1054.8,512.0,30.9,1068.1,512.0,34.1,0.0
3372783,1051.6,512.0,30.8,1068.1,512.0,34.1,0.0
3372785,1051.5,512.0,30.8,1067.9,512.0,34.1,0.0
3372787,1052.0,512.0,30.8,1067.0,512.0,34.1,0.0
3372789,1056.2,512.0,30.8,1065.8,512.0,34.1,0.0
3372791,1055.5,512.0,30.7,1067.2,512.0,34.1,0.0
3372793,1054.0,512.0,30.6,1067.5,512.0,34.1,0.0
3372795,1052.9,512.0,30.7,1066.2,512.0,34.1,0.0
3372797,1051.3,512.0,30.8,1068.5,512.0,34.1,0.0
3372799,1053.1,512.0,31.0,1066.1,512.0,34.1,0.0
3372801,1053.6,512.0,30.9,1065.6,512.0,34.2,0.0
3372803,1051.6,512.0,30.8,1065.3,512.0,34.1,0.0
3372805,1048.7,512.0,30.8,1063.8,512.0,34.0,0.0
3372807,1047.2,512.0,30.8,1063.7,512.0,34.0,0.0
3372809,1046.5,512.0,30.8,1066.0,512.0,34.0,0.0
3372811,1045.9,512.0,30.8,1066.5,512.0,34.0,0.0
3372813,1043.7,512.0,30.7,1069.3,512.0,33.9,0.0
3372815,1042.5,512.0,30.7,1069.8,512.0,33.9,0.0
3372817,1043.9,512.0,30.7,1067.3,512.0,33.8,0.0
3372819,1041.8,512.0,30.8,1067.1,512.0,33.9,0.0
3372821,1040.9,512.0,30.9,1065.5,512.0,33.9,0.0
3372823,1047.5,512.0,30.8,1065.2,512.0,33.9,0.0
3372825,1048.8,512.0,30.7,1067.1,512.0,33.9,0.0
3372827,1049.0,512.0,30.7,1069.2,512.0,33.8,0.0
3372829,1048.5,512.0,30.8,1066.8,512.0,33.8,0.0
3372831,1047.3,512.0,30.7,1067.7,512.0,33.8,0.0
3372833,1047.6,512.0,30.6,1068.2,512.0,33.8,0.0
3372835,1047.9,512.0,30.5,1067.4,512.0,33.8,0.0
3372837,1048.3,512.0,30.5,1066.7,512.0,33.8,0.0
3372839,1048.1,512.0,30.6,1067.3,512.0,33.8,0.0
3372841,1050.5,512.0,30.8,1067.7,512.0,33.8,0.0
3372843,1052.1,512.0,30.7,1066.1,512.0,33.8,0.0
3372845,1052.4,512.0,30.5,1064.7,512.0,33.8,0.0
3372847,1052.4,512.0,30.5,1065.3,512.0,33.8,0.0
3372849,1052.8,512.0,30.5,1065.7,512.0,33.8,0.0
3372851,1051.2,512.0,30.5,1066.4,512.0,33.7,0.0
3372853,1052.1,512.0,30.5,1069.4,512.0,33.7,0.0
3372855,1052.9,512.0,30.6,1071.7,512.0,33.8,0.0
3372857,1052.2,512.0,30.8,1069.8,512.0,33.8,0.0
