msg,blinks_count,blinks_total_duration,blinks_avg_duration,blinks_median_duration,center_fixations_count,center_fixations_duration,center_fixations_avg_duration,center_fixations_median_duration,total_duration,center_fixations_percentage,blinks_percentage
0,8,1180.0,147.5,134.0,23,16834.0,731.9130434782609,410.0,104978.0,16.218038883215478,1.1240450380079636
1,32,3760.0,117.5,126.0,80,22134.0,276.675,108.0,76398.0,30.471653955230042,4.921594806146758
2,12,1622.0,135.16666666666666,140.0,46,56250.0,1222.8260869565217,830.0,70820.0,81.2884765455649,2.2903134707709687
3,1,78.0,78.0,78.0,1,922.0,922.0,922.0,1002.0,99.78354978354979,7.784431137724551
