0,1,2,3,4,5,6,7
1584117,.,.,0.0,.,.,0.0,0.0
1584119,.,.,0.0,.,.,0.0,0.0
1584121,-225.0,512.0,32.6,.,.,0.0,0.0
1584123,-292.7,512.0,32.6,.,.,0.0,0.0
1584125,-300.4,512.0,32.6,.,.,0.0,0.0
1584127,-283.5,512.0,32.6,.,.,0.0,0.0
1584129,-289.3,512.0,32.6,.,.,0.0,0.0
1584131,-303.0,512.0,32.6,.,.,0.0,0.0
1584133,-307.4,512.0,32.6,.,.,0.0,0.0
1584135,-289.4,512.0,32.6,.,.,0.0,0.0
1584137,-275.3,512.0,32.6,.,.,0.0,0.0
1584139,-284.5,512.0,32.6,.,.,0.0,0.0
1584141,-297.5,512.0,32.6,.,.,0.0,0.0
1584143,-297.3,512.0,32.6,.,.,0.0,0.0
1584145,-290.2,512.0,32.6,.,.,0.0,0.0
1584147,-290.3,512.0,32.6,.,.,0.0,0.0
1584149,1401.5,591.0,32.6,.,.,0.0,0.0
1584151,926.2,833.4,32.7,1480.7,753.5,29.6,0.0
1584153,926.3,833.1,32.7,1480.2,752.4,29.6,0.0
1584155,926.3,831.1,32.6,1479.2,751.7,29.6,0.0
1584157,926.1,829.1,32.7,1478.8,751.5,29.6,0.0
1584159,926.3,828.7,32.7,1478.7,752.1,29.6,0.0
1584161,926.8,829.7,32.7,1479.1,753.1,29.6,0.0
1584163,927.2,830.9,32.7,1478.9,752.9,29.6,0.0
1584165,927.0,831.9,32.7,1478.7,752.5,29.6,0.0
1584167,927.1,831.8,32.7,1478.8,752.0,29.6,0.0
1584169,927.9,832.1,32.7,1478.5,751.5,29.6,0.0
1584171,928.6,833.8,32.7,1478.7,751.5,29.6,0.0
1584173,928.5,834.6,32.8,1479.1,752.2,29.6,0.0
1584175,928.2,834.1,32.7,1478.9,753.2,29.6,0.0
1584177,927.0,833.6,32.7,1479.6,753.8,29.7,0.0
1584179,925.2,832.6,32.7,1480.3,752.6,29.7,0.0
1584181,925.0,832.1,32.7,1480.4,752.2,29.7,0.0
1744062,968.1,512.0,34.3,1099.8,512.0,30.0,0.0
1744064,967.2,512.0,34.3,1099.4,512.0,30.0,0.0
1744066,966.7,512.0,34.3,1100.5,512.0,30.0,0.0
1744068,967.9,512.0,34.3,1101.0,512.0,30.1,0.0
1744070,968.0,512.0,34.4,1100.1,512.0,30.1,0.0
1744072,967.4,512.0,34.4,1100.4,512.0,30.0,0.0
1744074,967.7,512.0,34.4,1100.6,512.0,30.0,0.0
1744076,969.0,512.0,34.4,1099.7,512.0,30.0,0.0
1744078,969.0,512.0,34.4,1099.3,512.0,30.0,0.0
1744080,969.5,512.0,34.4,1099.4,512.0,30.0,0.0
1744082,969.7,512.0,34.3,1098.5,512.0,30.0,0.0
1744084,968.4,512.0,34.3,1097.4,512.0,30.0,0.0
1744086,967.9,512.0,34.4,1097.8,512.0,30.0,0.0
1744088,967.9,512.0,34.4,1098.7,512.0,30.0,0.0
1744090,968.0,512.0,34.4,1097.7,512.0,30.0,0.0
1744092,968.2,512.0,34.4,1096.7,512.0,30.0,0.0
