msg,blinks_count,blinks_total_duration,blinks_avg_duration,blinks_median_duration,center_dwell_count,center_dwell_duration,center_dwell_avg_duration,center_dwell_median_duration,dispersion_fixations_count,dispersion_fixations_duration,dispersion_fixations_avg_duration,dispersion_fixations_median_duration,center_dispersion_fixations_count,center_dispersion_fixations_duration,center_dispersion_fixations_avg_duration,center_dispersion_fixations_median_duration,saccades_count,saccades_avg_velocity,saccades_median_velocity,total_duration,center_dwell_percentage,dispersion_fixations_percentage,center_dispersion_fixations_percentage,blinks_percentage
0,21,4054.0,193.04761904761904,148.0,60,87696.0,1461.6,454.0,211,93528.0,443.26066350710903,314.0,169,80920.0,478.8165680473373,330.0,555,3162.5446961947746,2058.333333333337,125445.0,72.24258800075788,77.04689804021714,66.66062558179766,3.231695165211846
1,4,560.0,140.0,156.0,15,18358.0,1223.8666666666666,568.0,51,18672.0,366.11764705882354,300.0,43,16312.0,379.3488372093023,304.0,114,3273.3418225303126,2450.000000000017,20000.0,94.43415637860082,96.04938271604938,83.90946502057614,2.8000000000000003
2,16,2060.0,128.75,128.0,17,77028.0,4531.058823529412,4918.0,128,76056.0,594.1875,388.0,128,76056.0,594.1875,388.0,338,2254.415965040886,1693.7500000000084,79230.0,99.81599066994946,98.55643384735001,98.55643384735001,2.600025242963524
3,0,0,-1,-1,2,848.0,424.0,754.0,4,830.0,207.5,222.0,3,690.0,230.0,222.0,10,4212.325961538461,3444.999999999993,1004.0,84.4621513944223,82.66932270916335,68.72509960159363,0.0
