msg,blinks_count,blinks_total_duration,blinks_avg_duration,blinks_median_duration,center_fixations_count,center_fixations_duration,center_fixations_avg_duration,center_fixations_median_duration,total_duration,center_fixations_percentage,blinks_percentage
0,28,2300.0,82.14285714285714,72.0,58,101626.0,1752.1724137931035,314.0,111242.0,93.2845000091792,2.0675644091260494
1,72,7592.0,105.44444444444444,64.0,147,52138.0,354.68027210884355,162.0,75746.0,76.50027878040908,10.022971510046736
2,36,2682.0,74.5,72.0,61,66856.0,1096.0,562.0,71780.0,96.75533300529683,3.7364168292003344
3,2,82.0,41.0,64.0,5,470.0,94.0,92.0,1004.0,50.97613882863341,8.167330677290837
