msg,blinks_count,blinks_total_duration,blinks_avg_duration,blinks_median_duration,center_fixations_count,center_fixations_duration,center_fixations_avg_duration,center_fixations_median_duration,total_duration,center_fixations_percentage,blinks_percentage
0,5,252.0,50.4,40.0,74,157378.0,2126.7297297297296,250.0,170388.0,92.50129308318051,0.1478977392774139
1,13,1398.0,107.53846153846153,90.0,198,45216.0,228.36363636363637,44.0,106950.0,42.83765347885403,1.3071528751753154
2,3,102.0,34.0,32.0,90,30170.0,335.22222222222223,88.0,64454.0,46.882769766285435,0.1582523970583672
3,0,0,-1,-1,1,454.0,454.0,454.0,1002.0,45.309381237524946,0.0
