0,1,2,3,4,5,6,7
3112707,996.5,512.0,40.7,948.0,512.0,39.2,0.0
3112709,1005.0,512.0,40.8,960.1,512.0,39.2,0.0
3112711,1007.9,512.0,40.8,961.4,512.0,39.2,0.0
3112713,1005.9,512.0,40.8,954.3,512.0,39.2,0.0
3112715,994.7,512.0,40.8,941.2,512.0,39.2,0.0
3112717,978.6,512.0,40.8,926.2,512.0,39.2,0.0
3112719,966.0,512.0,40.8,914.0,512.0,39.1,0.0
3112721,959.1,512.0,40.8,910.1,512.0,39.0,0.0
3112723,955.6,512.0,40.8,909.3,512.0,38.9,0.0
3112725,954.8,512.0,40.7,909.7,512.0,38.8,0.0
3112727,960.5,512.0,40.6,915.9,512.0,38.9,0.0
3112729,968.3,512.0,40.7,921.1,512.0,38.9,0.0
3112731,974.8,512.0,40.7,928.5,512.0,39.0,0.0
3112733,974.7,512.0,40.7,933.4,512.0,38.9,0.0
3112735,972.8,512.0,40.7,934.8,512.0,38.9,0.0
3112737,974.0,512.0,40.6,934.7,512.0,38.9,0.0
3112739,977.8,512.0,40.7,936.2,512.0,38.9,0.0
3112741,979.9,512.0,40.7,935.3,512.0,38.8,0.0
3112743,980.8,512.0,40.6,934.8,512.0,38.8,0.0
3112745,980.9,512.0,40.6,937.4,512.0,38.9,0.0
3112747,981.5,512.0,40.6,937.5,512.0,38.9,0.0
3112749,983.4,512.0,40.7,937.5,512.0,38.9,0.0
3112751,983.4,512.0,40.8,939.0,512.0,38.9,0.0
3112753,983.4,512.0,40.7,943.6,512.0,38.9,0.0
3112755,981.3,512.0,40.7,940.6,512.0,38.8,0.0
3112757,980.7,512.0,40.7,939.2,512.0,38.8,0.0
3112759,985.0,512.0,40.6,941.1,512.0,38.8,0.0
3112761,986.7,512.0,40.6,941.8,512.0,38.8,0.0
3112763,985.0,512.0,40.6,941.2,512.0,38.8,0.0
3112765,981.7,512.0,40.6,940.9,512.0,38.8,0.0
3112767,979.3,658.0,40.7,1102.7,637.8,38.9,0.0
3112769,979.3,657.9,40.7,1012.8,626.6,38.9,0.0
3112771,979.4,654.9,40.6,1012.6,626.5,38.9,0.0
3112773,979.9,653.0,40.6,1012.2,624.8,38.9,0.0
3112775,979.0,653.9,40.7,1012.1,622.8,38.9,0.0
3112777,977.3,654.9,40.7,1011.8,622.5,38.9,0.0
3112779,977.3,656.1,40.6,1012.7,623.8,38.9,0.0
3112781,978.0,657.4,40.6,1013.0,624.6,38.9,0.0
3112783,979.0,659.7,40.6,1013.0,624.5,38.9,0.0
3112785,979.3,660.3,40.6,1012.3,623.5,38.8,0.0
3112787,977.8,656.0,40.6,1011.4,623.3,38.8,0.0
3112789,978.0,653.8,40.7,1011.1,624.1,38.8,0.0
3112791,978.3,658.0,40.7,1011.5,625.8,38.8,0.0
3112793,978.3,658.9,40.7,1012.1,624.1,38.9,0.0
3112795,978.2,658.2,40.6,1011.8,623.9,38.9,0.0
3112797,979.1,656.3,40.6,1011.7,625.3,38.9,0.0
3138234,1019.1,512.0,46.5,983.3,512.0,46.4,0.0
3138236,1019.2,512.0,46.4,984.4,512.0,46.4,0.0
3138238,1017.5,512.0,46.5,986.5,512.0,46.5,0.0
3138240,1016.9,512.0,46.6,985.0,512.0,46.4,0.0
3138242,1016.3,512.0,46.6,984.6,512.0,46.4,0.0
3138244,1015.9,512.0,46.5,986.1,512.0,46.4,0.0
3138246,1015.8,512.0,46.5,985.1,512.0,46.4,0.0
3138248,1013.9,512.0,46.5,985.7,512.0,46.4,0.0
3138250,1013.9,512.0,46.6,985.9,512.0,46.4,0.0
3138252,1014.0,512.0,46.5,985.8,512.0,46.4,0.0
3138254,1013.8,512.0,46.6,986.1,512.0,46.4,0.0
3138256,1014.2,512.0,46.6,986.7,512.0,46.4,0.0
3138258,1016.3,512.0,46.6,986.4,512.0,46.4,0.0
3138260,1016.5,512.0,46.6,985.8,512.0,46.4,0.0
3138262,1015.4,512.0,46.6,986.2,512.0,46.5,0.0
3138264,1015.2,512.0,46.7,986.0,512.0,46.5,0.0
3138266,1015.1,512.0,46.7,985.9,512.0,46.5,0.0
3138268,1014.7,512.0,46.7,986.7,512.0,46.5,0.0
3138270,1014.9,512.0,46.7,986.5,512.0,46.5,0.0
3138272,1013.8,512.0,46.7,985.8,512.0,46.5,0.0
3138274,1013.5,512.0,46.7,986.8,512.0,46.5,0.0
3138276,1014.2,512.0,46.7,987.1,512.0,46.5,0.0
3138278,1014.6,512.0,46.7,987.2,512.0,46.5,0.0
3138280,1011.3,512.0,46.7,986.7,512.0,46.5,0.0
3138282,1011.2,512.0,46.6,985.6,512.0,46.5,0.0
3138284,1013.9,512.0,46.6,985.8,512.0,46.5,0.0
3138286,1014.0,512.0,46.7,986.1,512.0,46.5,0.0
3138288,1014.5,512.0,46.7,986.3,512.0,46.5,0.0
3138290,1015.1,512.0,46.7,987.2,512.0,46.5,0.0
