0,1,2,3,4,5,6,7
3337946,954.0,512.0,40.6,927.4,512.0,38.9,0.0
3337948,953.0,512.0,40.6,926.9,512.0,38.9,0.0
3337950,950.8,512.0,40.6,927.5,512.0,38.9,0.0
3337952,948.5,512.0,40.5,927.9,512.0,38.9,0.0
3337954,946.6,512.0,40.5,928.3,512.0,38.8,0.0
3337956,944.8,512.0,40.6,928.4,512.0,38.8,0.0
3337958,941.3,512.0,40.6,928.6,512.0,38.8,0.0
3337960,938.9,512.0,40.6,929.8,512.0,38.9,0.0
3337962,935.9,512.0,40.8,931.1,512.0,38.9,0.0
3337964,932.8,512.0,40.9,929.8,512.0,39.0,0.0
3337966,931.2,512.0,40.9,926.9,512.0,39.2,0.0
3337968,930.1,512.0,40.6,923.3,512.0,39.2,0.0
3337970,927.3,512.0,40.2,921.6,512.0,39.3,0.0
3337972,920.0,512.0,39.3,920.9,512.0,39.2,0.0
3337974,911.6,512.0,37.8,918.6,512.0,39.0,0.0
3337976,908.2,512.0,36.0,927.0,512.0,38.2,0.0
3337978,912.3,512.0,31.5,942.9,512.0,36.9,0.0
3337980,922.6,512.0,27.3,960.0,512.0,35.4,0.0
3337982,928.7,512.0,26.6,962.1,512.0,33.0,0.0
3337984,.,.,0.0,946.8,512.0,29.1,0.0
3337986,.,.,0.0,942.3,512.0,27.1,0.0
3337988,.,.,0.0,941.7,512.0,26.6,0.0
3337990,.,.,0.0,.,.,0.0,0.0
3337992,.,.,0.0,.,.,0.0,0.0
3337994,.,.,0.0,.,.,0.0,0.0
3337996,.,.,0.0,.,.,0.0,0.0
3337998,.,.,0.0,.,.,0.0,0.0
3338000,.,.,0.0,.,.,0.0,0.0
3338002,.,.,0.0,.,.,0.0,0.0
3338004,.,.,0.0,.,.,0.0,0.0
3338006,.,.,0.0,.,.,0.0,0.0
3338008,.,.,0.0,.,.,0.0,0.0
3338010,.,.,0.0,.,.,0.0,0.0
3338012,.,.,0.0,.,.,0.0,0.0
3338014,.,.,0.0,.,.,0.0,0.0
3338016,.,.,0.0,.,.,0.0,0.0
3338018,.,.,0.0,.,.,0.0,0.0
3338020,.,.,0.0,.,.,0.0,0.0
3338022,.,.,0.0,.,.,0.0,0.0
3338024,.,.,0.0,.,.,0.0,0.0
3338026,.,.,0.0,.,.,0.0,0.0
3338028,.,.,0.0,.,.,0.0,0.0
3338030,.,.,0.0,.,.,0.0,0.0
3338032,.,.,0.0,.,.,0.0,0.0
3338034,.,.,0.0,.,.,0.0,0.0
3338036,.,.,0.0,.,.,0.0,0.0
3338038,.,.,0.0,.,.,0.0,0.0
3338040,.,.,0.0,.,.,0.0,0.0
3338042,.,.,0.0,.,.,0.0,0.0
3338044,.,.,0.0,.,.,0.0,0.0
3338046,.,.,0.0,.,.,0.0,0.0
3338048,.,.,0.0,.,.,0.0,0.0
3338050,.,.,0.0,.,.,0.0,0.0
3338052,.,.,0.0,.,.,0.0,0.0
3338054,.,.,0.0,.,.,0.0,0.0
3338056,.,.,0.0,.,.,0.0,0.0
3338058,.,.,0.0,.,.,0.0,0.0
3338060,.,.,0.0,.,.,0.0,0.0
3338062,.,.,0.0,.,.,0.0,0.0
3338064,.,.,0.0,.,.,0.0,0.0
3338066,.,.,0.0,.,.,0.0,0.0
3338068,.,.,0.0,.,.,0.0,0.0
3338070,.,.,0.0,.,.,0.0,0.0
3338072,.,.,0.0,.,.,0.0,0.0
3338074,.,.,0.0,.,.,0.0,0.0
3338076,.,.,0.0,.,.,0.0,0.0
3338078,.,.,0.0,.,.,0.0,0.0
3338080,.,.,0.0,.,.,0.0,0.0
3338082,.,.,0.0,.,.,0.0,0.0
3338084,.,.,0.0,.,.,0.0,0.0
3338086,.,.,0.0,.,.,0.0,0.0
3338088,.,.,0.0,.,.,0.0,0.0
3338090,.,.,0.0,.,.,0.0,0.0
3338092,.,.,0.0,.,.,0.0,0.0
3338094,.,.,0.0,.,.,0.0,0.0
3338096,.,.,0.0,.,.,0.0,0.0
3338098,.,.,0.0,.,.,0.0,0.0
3338100,.,.,0.0,.,.,0.0,0.0
3338102,.,.,0.0,.,.,0.0,0.0
3338104,.,.,0.0,.,.,0.0,0.0
3338106,.,.,0.0,.,.,0.0,0.0
3338108,.,.,0.0,806.4,512.0,26.3,0.0
3338110,868.9,512.0,25.8,917.9,512.0,26.4,0.0
3338112,926.3,512.0,25.9,911.4,512.0,27.1,0.0
3338114,932.2,512.0,26.6,898.4,512.0,28.0,0.0
3338116,936.8,512.0,27.7,923.6,512.0,30.6,0.0
3338118,936.8,512.0,30.6,953.1,512.0,32.9,0.0
3338120,922.7,512.0,33.5,946.5,512.0,34.3,0.0
3338122,911.5,512.0,34.5,929.7,512.0,35.2,0.0
3338124,909.2,512.0,35.3,926.3,512.0,35.7,0.0
3338126,915.0,512.0,36.1,917.3,512.0,36.7,0.0
3338128,910.6,512.0,36.9,896.8,512.0,37.5,0.0
3338130,904.8,512.0,37.9,889.9,512.0,38.0,0.0
3338132,902.2,512.0,38.6,885.1,512.0,38.4,0.0
3338134,895.8,512.0,39.5,884.3,512.0,38.5,0.0
3338136,894.2,512.0,40.0,881.8,512.0,38.8,0.0
3338138,894.1,512.0,40.3,882.0,512.0,38.9,0.0
3338140,889.2,512.0,40.4,883.3,512.0,39.0,0.0
3338142,888.1,512.0,40.7,885.6,512.0,39.0,0.0
3338144,888.7,512.0,40.9,887.8,512.0,39.0,0.0
3338146,890.1,512.0,40.9,888.8,512.0,39.0,0.0
3338148,891.2,512.0,41.0,889.7,512.0,39.0,0.0
3338150,893.0,512.0,41.2,890.2,512.0,39.0,0.0
3338152,894.2,512.0,41.2,890.5,512.0,39.0,0.0
3338154,892.6,512.0,41.2,892.2,512.0,38.9,0.0
3338156,892.2,512.0,41.3,893.7,512.0,38.8,0.0
3338158,892.6,512.0,41.2,892.3,512.0,38.8,0.0
3338160,894.5,512.0,41.2,892.4,512.0,38.7,0.0
3338162,894.9,512.0,41.1,893.8,512.0,38.7,0.0
3338164,894.0,512.0,41.0,895.0,512.0,38.6,0.0
3338166,897.0,512.0,41.0,894.7,512.0,38.6,0.0
3338168,896.5,512.0,40.9,893.7,512.0,38.5,0.0
3338170,894.9,512.0,40.9,893.4,512.0,38.5,0.0
3338172,894.1,512.0,40.9,893.3,512.0,38.5,0.0
3338174,894.1,512.0,40.9,893.4,512.0,38.5,0.0
3338176,896.6,512.0,40.9,893.6,512.0,38.5,0.0
3338178,897.5,512.0,40.7,894.6,512.0,38.5,0.0
3338180,896.6,512.0,40.5,895.2,512.0,38.4,0.0
3338182,896.6,512.0,40.5,894.9,512.0,38.4,0.0
3338184,897.0,512.0,40.5,895.2,512.0,38.5,0.0
3338186,896.7,512.0,40.4,895.1,512.0,38.4,0.0
3338188,895.9,512.0,40.4,894.9,512.0,38.4,0.0
3338190,897.8,512.0,40.4,895.3,512.0,38.4,0.0
3338192,898.3,512.0,40.4,895.7,512.0,38.5,0.0
3338194,897.1,512.0,40.4,895.3,512.0,38.4,0.0
3338196,895.8,512.0,40.3,893.7,512.0,38.4,0.0
3338198,894.9,512.0,40.3,893.6,512.0,38.4,0.0
3338200,895.0,512.0,40.3,893.4,512.0,38.5,0.0
3338202,896.4,512.0,40.3,893.2,512.0,38.5,0.0
3338204,894.8,512.0,40.3,892.9,512.0,38.5,0.0
3338206,896.0,512.0,40.3,893.0,512.0,38.5,0.0
3338208,896.3,512.0,40.3,893.2,512.0,38.5,0.0
3338210,896.3,512.0,40.3,895.1,512.0,38.5,0.0
3338212,896.2,512.0,40.4,896.5,512.0,38.5,0.0
3338214,895.6,512.0,40.4,895.7,512.0,38.5,0.0
3338216,895.9,512.0,40.4,894.7,512.0,38.5,0.0
3338218,897.7,512.0,40.3,895.1,512.0,38.5,0.0
3338220,897.9,512.0,40.3,896.5,512.0,38.5,0.0
3338222,898.5,512.0,40.3,896.9,512.0,38.5,0.0
3338224,897.7,512.0,40.3,896.8,512.0,38.5,0.0
3338226,896.3,512.0,40.3,895.9,512.0,38.5,0.0
3338228,897.5,512.0,40.3,895.3,512.0,38.5,0.0
3338230,897.9,512.0,40.4,894.7,512.0,38.5,0.0
3338232,896.3,512.0,40.4,894.7,512.0,38.5,0.0
3338234,895.1,512.0,40.4,895.5,512.0,38.6,0.0
3338236,894.6,512.0,40.5,896.7,512.0,38.6,0.0
3338238,895.4,512.0,40.4,896.5,512.0,38.6,0.0
3338240,896.8,512.0,40.4,896.4,512.0,38.6,0.0
3338242,897.7,512.0,40.4,897.1,512.0,38.6,0.0
3338244,897.3,512.0,40.5,897.6,512.0,38.6,0.0
3338246,895.2,512.0,40.5,897.5,512.0,38.6,0.0
3338248,894.8,512.0,40.4,897.5,512.0,38.6,0.0
3338250,895.9,512.0,40.4,897.7,512.0,38.6,0.0
3338252,897.1,512.0,40.5,898.0,512.0,38.7,0.0
3338254,898.1,512.0,40.5,896.8,512.0,38.7,0.0
3338256,898.4,512.0,40.6,896.6,512.0,38.7,0.0
3338258,898.0,512.0,40.6,898.0,512.0,38.7,0.0
3338260,897.0,512.0,40.6,897.2,512.0,38.7,0.0
3338262,896.6,512.0,40.6,896.0,512.0,38.7,0.0
3338264,896.5,512.0,40.6,895.5,512.0,38.7,0.0
3338266,897.6,512.0,40.6,895.3,512.0,38.7,0.0
3338268,898.0,512.0,40.6,895.4,512.0,38.7,0.0
3338270,895.7,512.0,40.7,895.2,512.0,38.7,0.0
3338272,894.2,512.0,40.7,895.0,512.0,38.7,0.0
3338274,894.2,512.0,40.7,894.5,512.0,38.7,0.0
3338276,895.1,512.0,40.7,893.9,512.0,38.8,0.0
3338278,895.2,512.0,40.8,893.7,512.0,38.8,0.0
3338280,896.8,512.0,40.7,894.4,512.0,38.8,0.0
3338282,897.8,512.0,40.8,895.1,512.0,38.8,0.0
3338284,897.2,512.0,40.8,895.2,512.0,38.8,0.0
3338286,896.5,512.0,40.9,894.3,512.0,38.8,0.0
3338288,895.4,512.0,40.8,893.9,512.0,38.9,0.0
3338290,895.2,512.0,40.8,894.4,512.0,38.8,0.0
3338292,895.2,512.0,40.8,894.8,512.0,38.9,0.0
3338294,894.6,512.0,40.9,895.9,512.0,39.0,0.0
3338296,894.4,512.0,41.0,897.1,512.0,39.0,0.0
3338298,896.3,512.0,41.0,896.8,512.0,39.0,0.0
3338300,898.7,512.0,41.0,896.3,512.0,38.9,0.0
3338302,898.2,512.0,41.0,895.4,512.0,38.9,0.0
3338304,897.9,512.0,41.0,894.3,512.0,38.9,0.0
3338306,897.7,512.0,41.0,892.8,512.0,38.9,0.0
3338308,896.7,512.0,41.1,893.6,512.0,38.9,0.0
3338310,894.8,512.0,41.1,894.7,512.0,38.9,0.0
3338312,894.5,512.0,41.1,894.6,512.0,39.0,0.0
3338314,893.7,512.0,41.1,894.5,512.0,39.0,0.0
3338316,895.2,512.0,41.1,895.4,512.0,39.0,0.0
3338318,895.7,512.0,41.1,894.9,512.0,39.0,0.0
3338320,896.2,512.0,41.1,894.6,512.0,39.0,0.0
3338322,896.9,512.0,41.2,894.3,512.0,39.1,0.0
3338324,897.8,512.0,41.2,893.9,512.0,39.1,0.0
