msg,blinks_count,blinks_total_duration,blinks_avg_duration,blinks_median_duration,center_fixations_count,center_fixations_duration,center_fixations_avg_duration,center_fixations_median_duration,total_duration,center_fixations_percentage,blinks_percentage
0,82,6546.0,79.82926829268293,80.0,122,125071.0,1025.172131147541,658.0,156453.0,83.43239475141255,4.184004141818949
1,13,872.0,67.07692307692308,64.0,17,16694.0,982.0,1074.0,20000.0,87.27519866164785,4.36
2,46,5286.0,114.91304347826087,104.0,47,63274.0,1346.2553191489362,1246.0,68782.0,99.65037167695603,7.68515018464133
3,1,116.0,116.0,116.0,2,882.0,441.0,840.0,1002.0,99.54853273137697,11.57684630738523
