is_introvert,msg,center_dwell_percentage_mean,center_dwell_percentage_median
0,1,65.43022244806154,77.21422250824551
0,2,78.2501874505731,89.05252222799352
1,1,58.44027277989053,64.94365007717174
1,2,71.83231900578137,81.2884765455649
